Rank,Company,Employees
109,Portillo's,"8,040"
110,Lamb Weston,"8,000"
111,Marel,"8,000"
112,Noodles & Company,"8,000"
113,Kikkoman,"7,775"
114,Nomad Foods,"7,535"
115,TreeHouse Foods,"7,500"
116,Chuy's,"7,400"
117,Foshan Haitian Flavouring and Food,"7,313"
118,Austevoll Seafood,"7,235"
119,MTY Food Group,"7,062"
120,Barbeque Nation Hospitality,"6,878"
121,Domino's Pizza,"6,500"
122,Restaurant Brands International,"6,400"
123,Glanbia plc,"6,163"
124,Carrols Restaurant Group,"6,075"
125,Leroy Seafood,"6,000"
126,Potbelly Corporation,"6,000"
127,Sweetgreen,"5,952"
128,J.M. Smucker Company,"5,800"
129,Fairwood Holdings,"5,600"
130,Hatsun Agro Products,"5,541"
131,Ebro Foods,"5,088"
132,J&J Snack Foods,"5,000"
133,El Pollo Loco,"4,931"
134,Nestle Malaysia,"4,906"
135,Wendy’s Company,"4,833"
136,Toyo Suisan,"4,745"
137,Unilever Indonesia,"4,704"
138,PPB Group Berhad,"4,433"
139,Fiesta Restaurant Group,"4,350"
140,Zomato,"4,204"
141,The Chefs' Warehouse,"4,124"
142,Sligro Food,"4,113"
143,AAK,"4,000"
144,Mission Produce,"3,900"
145,Chr. Hansen,"3,834"
146,Denny's,"3,700"
147,The ONE Group Hospitality,"3,700"
148,Tate & Lyle,"3,604"
149,Utz Brands,"3,550"
150,Patanjali Foods,"3,547"
151,Dingdong Maicai,"3,363"
152,Calavo Growers,"3,266"
153,Lancaster Colony Corporation,"3,200"
154,B&G Foods,"3,093"
155,Hain Celestial,"3,078"
156,Ottogi,"3,018"
157,Cal-Maine Foods,"2,845"
158,Seneca Foods,"2,809"
159,TH International (Tims China),"2,807"
160,Hostess Brands,"2,800"
161,Apex Frozen Foods,"2,713"
162,Lotus Bakeries,"2,698"
163,Adani Wilmar,"2,600"
164,Cloetta,"2,600"
165,Biglari,"2,559"
166,Corbion,"2,443"
167,GEN Restaurant Group,"2,350"
168,Tootsie Roll Industries,"2,300"
169,McDonald's Japan,"2,272"
170,East India Distilleries Parry,"2,230"
171,Kyokuyo,"2,112"
172,Kura Sushi USA,"2,100"
173,SalMar ASA,"2,023"
174,Oatly,"2,009"
175,Missfresh,"1,925"
176,Village Farms International,"1,800"
177,Bakkafrost,"1,778"
178,PAR Technology,"1,719"
179,Samyang Foods,"1,651"
180,Parag Milk Foods,"1,572"
181,Kobe Bussan,"1,565"
182,Blue Apron Holdings,"1,503"
183,SunOpta,"1,453"
184,Balchem,"1,331"
185,Italmobiliare,"1,305"
186,Dhampur Sugar Mills,"1,213"
187,FAT Brands,"1,100"
188,Jack in the Box,"1,030"
189,Freshpet,"1,011"
190,HF Foods Group,890
191,Beyond Meat,787
192,Fine Organics,760
193,Whole Earth Brands,760
194,Grieg Seafood,750
195,Brim hf.,713
196,Olo,712
197,Sovos Brands,690
198,Vadilal Industries,668
199,Dine Brands Global,637
200,Alto Ingredients,439
201,The a2 Milk Company,427
202,Vital Farms,368
203,YanGuFang International Group,291
204,Lifeway Foods,289
205,Local Bounti,289
206,Simply Good Foods,260
207,Wingstop Restaurants,239
208,Arnarlax (Icelandic Salmon),177
209,Atlantic Sapphire,177
210,Stryve Foods,156
211,Nathan's Famous,138
212,Real Good Food plc,130
213,AquaBounty,100
214,Edible Garden,77
215,Vidhi Specialty Food,71
216,Farmmi,56
217,Rave Restaurant Group,24
218,Moolec Science,12
219,BranchOut Food,4
